input,response
Can a minor have a UPI ID?,This depends on the bank's policy. Some banks allow minors above a certain age who have a bank account to use UPI with certain restrictions.
How to scan and pay?,Open your UPI app select the 'Scan & Pay' option point your phone's camera at the QR code enter the amount and your UPI PIN to complete the payment.
What is AutoPay in UPI?,UPI AutoPay allows you to set up recurring payments for services like mobile bills subscriptions or SIPs. The amount is automatically debited from your account on a set schedule.
Are there any hidden charges in UPI?,No for regular peer-to-peer transactions UPI is free. Some merchants or platforms might levy a convenience fee for certain transactions which they must disclose beforehand.
What is the limit on the number of UPI transactions per day?,Besides the amount limit of ₹100000 most banks also have a limit on the number of transactions which is typically 10 or 20 transactions per day. This can vary by bank.
My transaction is pending what does it mean?,A pending transaction means the payment has left your account but is still being processed by the beneficiary bank. It should either be successful or fail within a few hours.
What is the difference between a beneficiary and a remitter?,In a fund transfer the remitter is the person who is sending the money and the beneficiary is the person who is receiving the money.
Can I link an NRE/NRO account to UPI?,Yes as per recent guidelines Non-Resident Indians (NRIs) can now link their NRE/NRO accounts with their international mobile numbers to use UPI.
What is a bank statement?,A bank statement is a summary of financial transactions which have occurred over a given period on a bank account.
How can I get my bank statement?,You can usually download your bank statement from your net banking portal or mobile banking app or you can request a physical copy from your bank branch.
What is a cheque?,A cheque is a written document that directs a bank to pay a specific sum of money from a person's account to the person in whose name the cheque has been issued.
How to stop a cheque payment?,You can issue a 'stop payment' instruction to your bank through net banking phone banking or by visiting the branch. This is usually done if a cheque is lost or stolen.
What is a demand draft (DD)?,A Demand Draft is a prepaid instrument where the bank guarantees the payment. It's considered safer than a cheque as the funds are paid by the drawer to the bank beforehand.
What is an overdraft facility?,An overdraft (OD) is a credit facility that allows you to withdraw money from your current account even if the account balance is zero. It's a form of short-term loan.
What is a PAN card?,A PAN (Permanent Account Number) card is a unique ten-digit alphanumeric identifier issued by the Indian Income Tax Department. It is mandatory for many financial transactions.
Why is a PAN card linked to a bank account?,Linking your PAN card is mandatory for tax purposes and for transactions above a certain limit. It helps the IT department track high-value transactions.
What is Form 16?,Form 16 is a certificate issued by an employer to an employee. It contains the details of the tax deducted at source (TDS) from the employee's salary and is used for filing income tax returns.
What is Income Tax Return (ITR)?,An Income Tax Return (ITR) is a form which a person is supposed to submit to the Income Tax Department of India. It contains information about the person's income and the taxes to be paid on it during the year.
How is UPI different from a mobile wallet?,A mobile wallet (like a standalone Paytm wallet) stores money in the wallet itself. UPI directly debits and credits money from your linked bank account.
Can I pay my credit card bill using UPI?,Yes you can pay your credit card bills using UPI. You can enter your credit card number as the beneficiary account in the UPI app and make the payment.
What do I do if I see an unauthorized transaction?,If you see a transaction you did not make immediately report it to your bank's fraud department and block your card or UPI service.
How long does it take for a refund to show up?,Refund timelines can vary. UPI reversals are fast (1-5 days) while merchant refunds (e.g. from an e-commerce site) can take 7-10 working days.
What is the customer care number for UPI disputes?,You should first contact your bank's customer care. If the issue is not resolved you can raise a dispute on the NPCI portal or the RBI's ombudsman scheme.
Are all banks on UPI?,Almost all major commercial banks in India are on the UPI platform.
Can I use two UPI apps with the same bank account?,Yes you can register the same bank account on multiple UPI apps like Google Pay and PhonePe simultaneously.
Is it safe to use public Wi-Fi for banking transactions?,It is generally not recommended. Public Wi-Fi can be insecure. It's safer to use your mobile data or a trusted private Wi-Fi network for any financial transactions.
What is a digital savings account?,A digital savings account is an account that can be opened online often instantly using Aadhaar-based e-KYC without visiting a bank branch.
What is financial planning?,Financial planning is the process of setting financial goals and creating a plan to achieve them. It includes budgeting saving investing and managing debt.
What is an emergency fund?,An emergency fund is a stash of money set aside to cover unexpected financial surprises such as job loss or medical emergencies. It's recommended to have 3-6 months of living expenses saved.
